happiness_score,gdp,family,health,freedom,generosity,corruption,region,year,country,social_wellbeing,positive_factors
5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,Central and Eastern Europe,2015,Montenegro,1.6307800000000001,1.1754200000000001
5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,Eastern Asia,2015,China,1.7633299999999998,1.4611300000000003
5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,Sub-Saharan Africa,2015,Zambia,1.21536,1.0298800000000001
5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,Central and Eastern Europe,2015,Romania,1.6547800000000001,1.52512
5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,Central and Eastern Europe,2015,Serbia,1.758,1.2877399999999999
5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,Western Europe,2015,Portugal,2.01454,1.8010099999999998
5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,Central and Eastern Europe,2015,Latvia,1.81999,1.5287700000000002
5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,Southeastern Asia,2015,Philippines,1.6163,1.45789
5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,Sub-Saharan Africa,2015,Somaliland region,1.39025,0.7581899999999999
5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,Middle East and Northern Africa,2015,Morocco,1.25049,1.1379599999999999
5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,Central and Eastern Europe,2015,Macedonia,1.7377700000000003,1.4234
4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,Sub-Saharan Africa,2015,Mozambique,1.11757,0.49010999999999993
4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,Central and Eastern Europe,2015,Albania,1.61759,1.31459
4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,Central and Eastern Europe,2015,Bosnia and Herzegovina,1.70997,1.17049
4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,Sub-Saharan Africa,2015,Lesotho,1.1171499999999999,0.7319599999999999
4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,Latin America and Caribbean,2015,Dominican Republic,1.84027,1.5465900000000001
4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,Southeastern Asia,2015,Laos,1.2871199999999998,1.366
4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,Eastern Asia,2015,Mongolia,1.90328,1.5700900000000002
4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,Sub-Saharan Africa,2015,Swaziland,1.1485,1.17063
4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397,Western Europe,2015,Greece,1.8114599999999998,1.2170800000000002
4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,Middle East and Northern Africa,2015,Lebanon,1.63948,1.5375200000000002
4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,Central and Eastern Europe,2015,Hungary,1.9612,1.5424800000000003
4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,Latin America and Caribbean,2015,Honduras,1.64858,1.15882
4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,Central and Eastern Europe,2015,Tajikistan,1.42942,0.9416500000000001
4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,Middle East and Northern Africa,2015,Tunisia,1.34222,1.1445400000000001
4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,Middle East and Northern Africa,2015,Palestinian Territories,1.5857299999999999,0.8271200000000001
4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,Southern Asia,2015,Bangladesh,1.0327,0.8922600000000002
4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,Middle East and Northern Africa,2015,Iran,1.2425199999999998,1.63136
4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,Central and Eastern Europe,2015,Ukraine,1.87668,1.17344
4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788,Middle East and Northern Africa,2015,Iraq,1.42126,1.02683
